Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1784365197,400,,Aggregated,64.400000,0.000000,2300,2500,2600,2700,4600,5000,6900,8700,13000,18000,18000,5141,1,2300,2112.1342412618283,8.474664064124227,17738.14116604626,250.38105426959734
1784365198,400,,Aggregated,64.700000,0.000000,2300,2500,2600,2700,4600,5000,7000,8800,13000,18000,18000,5211,1,2300,2133.8766769046183,8.474664064124227,17738.14116604626,249.93206678180772
1784365199,400,,Aggregated,65.000000,0.000000,2300,2500,2600,2700,4600,5000,7000,8800,13000,18000,18000,5263,1,2300,2151.4566046066434,8.474664064124227,17738.14116604626,249.4894546836405
1784365200,400,,Aggregated,63.900000,0.000000,2300,2500,2600,2800,4700,5200,7100,8900,13000,18000,18000,5338,1,2300,2178.5703914313453,8.474664064124227,17738.14116604626,249.84750843012364
1784365201,400,,Aggregated,63.100000,0.000000,2400,2500,2600,2800,4700,5300,7100,8900,13000,18000,18000,5390,1,2300,2195.237465830155,8.474664064124227,17738.14116604626,250.01447124304266
1784365202,400,,Aggregated,62.900000,0.000000,2400,2500,2600,2800,4700,5400,7100,8900,13000,18000,18000,5457,1,2400,2215.803701794077,8.474664064124227,17738.14116604626,249.65787062488548
1784365203,400,,Aggregated,63.700000,0.000000,2400,2500,2700,2800,4700,5400,7200,8900,13000,18000,18000,5515,1,2400,2231.13386034442,8.474664064124227,17738.14116604626,251.607615593835
1784365204,400,,Aggregated,62.300000,0.000000,2400,2500,2700,2800,4700,5400,7200,8900,13000,18000,18000,5583,1,2400,2248.2085357647097,8.474664064124227,17738.14116604626,252.47125201504568
1784365205,400,,Aggregated,62.100000,0.000000,2400,2500,2700,2800,4700,5400,7200,8900,13000,18000,18000,5637,1,2400,2259.87444218356,8.474664064124227,17738.14116604626,252.803618946248
1784365206,400,,Aggregated,61.000000,0.000000,2400,2500,2700,2900,4700,5400,7300,9000,14000,20000,20000,5707,1,2400,2282.703848616676,8.474664064124227,19739.490506937727,253.30681619064308
1784365207,400,,Aggregated,62.300000,0.000000,2400,2600,2700,2900,4700,5400,7300,9000,14000,20000,20000,5766,1,2400,2298.6355842317835,8.474664064124227,19739.490506937727,253.46947624002775
1784365208,400,,Aggregated,61.100000,0.000000,2400,2600,2800,2900,4800,5500,7400,9000,14000,20000,20000,5825,1,2400,2316.9291721663712,8.474664064124227,19739.490506937727,253.86935622317597
1784365209,400,,Aggregated,60.900000,0.000000,2400,2600,2800,2900,4800,5500,7500,9100,14000,20000,20000,5895,1,2400,2332.465624991027,8.474664064124227,19739.490506937727,254.2924512298558
1784365210,400,,Aggregated,61.500000,0.000000,2400,2600,2800,2900,4800,5500,7500,9100,14000,20000,20000,5958,1,2400,2347.397469704933,8.474664064124227,19739.490506937727,255.7705605908023
1784365211,400,,Aggregated,62.000000,0.000000,2400,2600,2800,2900,4800,5500,7600,9100,13000,20000,20000,6022,1,2400,2364.705210096552,8.474664064124227,19739.490506937727,255.98106941215542
1784365212,400,,Aggregated,62.600000,0.000000,2400,2600,2800,2900,4800,5500,7700,9200,13000,20000,20000,6080,1,2400,2377.4573471663693,8.474664064124227,19739.490506937727,256.76973684210526
1784365213,400,,Aggregated,62.100000,0.000000,2400,2600,2800,2900,4900,5600,7700,9200,13000,20000,20000,6142,1,2400,2389.9768544430744,8.474664064124227,19739.490506937727,256.88261152718985
1784365214,400,,Aggregated,62.600000,0.000000,2400,2600,2800,2900,4900,5600,7700,9200,13000,20000,20000,6203,1,2400,2401.461276981479,8.474664064124227,19739.490506937727,258.1383201676608
1784365215,400,,Aggregated,61.300000,0.000000,2400,2600,2800,2900,4900,5700,7700,9400,13000,20000,20000,6276,1,2400,2418.460940174042,8.474664064124227,19739.490506937727,259.1193435309114
